description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
res-all-max armor	1			100					5	armo,any	r25	r26	r27	r28			useitem		100		res-all-max	100		5	5	levelreq	100		24	24																																																																										0
5% mana Armor	1			100					3	tors,any	jew	r29					useitem		100		mana%	100		5	5	levelreq	100		10	10																																																																										0
4% mana Armor	1			100					3	belt,any	jew	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	boot,any	jew	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	glov,any	jew	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	helm,any	jew	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
5% dmg reduced armor	1			100					3	armo,any	jew	r30					useitem		100		red-dmg%	100		5	5	levelreq	100		20	20																																																																										0
5% mana Armor	1			100					3	tors,any	jew	r31					useitem		100		hp%	100		5	5	levelreq	100		10	10																																																																										0
4% mana Armor	1			100					3	belt,any	jew	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	boot,any	jew	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	glov,any	jew	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					3	helm,any	jew	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
Nofreeze armors	1			100					3	armo,any	jew	r32					useitem		100		nofreeze	100		1	1	levelreq	100		20	20																																																																										0
light shield	1			100					3	shld,any	jew	r01					useitem		100		light	100		1	1	levelreq	100		1	1																																																																										0
Increased Block shields	1			100					3	shld,any	jew	r02					useitem		100		block	100		5	5	levelreq	100		7	7																																																																										0
mana-kill Shield	1			100					3	shld,any	jew	r03					useitem		100		mana-kill	100		1	1	levelreq	100		5	5																																																																										0
defense Shield	1			100					3	shld,any	jew	r04					useitem		100		ac	100		20	20	levelreq	100		6	6																																																																										0
mana regen Shield	1			100					3	shld,any	jew	r05					useitem		100		regen-mana	100		10	10	levelreq	100		6	6																																																																										0
dmg to mana Shield				100					3	shld,any	jew	r06					useitem		100		dmg-to-mana	100		8	8	levelreq	100		4	4																																																																										0
all resist shield	1			100					5	shld,any	r07	r08	r09	r10			useitem		100		res-all	100		30	30	levelreq	100		20	20																																																																										0
thorns Shield	1			100					3	shld,any	jew	r11					useitem		100		thorns	100		20	20	levelreq	100		5	5																																																																										0
reduce damage shield	1			100					3	shld,any	jew	r12					useitem		100		red-dmg	100		10	10	levelreq	100		6	6																																																																										0
faster block rate shield	1			100					3	shld,any	jew	r13					useitem		100		block1	100		10	10	levelreq	100		10	10																																																																										0
regen life shield	1			100					3	shld,any	jew	r14					useitem		100		regen	100		7	7	levelreq	100		10	10																																																																										0
#NAME?	1			100					3	shld,any	jew	r15					useitem		100		ease	100		-3	-3	levelreq	100		1	1																																																																										0
all attributes shields	1			100					5	shld,any	r16	r17	r18	r19			useitem		100		all-stats	100		5	5	levelreq	100		10	10																																																																										0
extra gold shields	1			100					3	shld,any	jew	r20					useitem		100		gold%	100		10	10	levelreq	100		5	5																																																																										0
lower vendor prices shield	1			100					99	shld,any	jew,mag	r20,qty=3					useitem		100		cheap	100		6	6	levelreq	100		16	16																																																																										0
defense shield	1			100					3	shld,any	jew	r21					useitem		100		ac%	100		30	30	levelreq	100		8	8																																																																										0
added experience shield	1			100					3	shld,any	jew	r22					useitem		100		addxp	100		1	1	levelreq	100		8	8																																																																										0
reduce magic shield	1			100					3	shld,any	jew	r23					useitem		100		red-mag	100		10	10	levelreq	100		6	6																																																																										0
mf shield 	1			100					3	armo,any	jew	r24					useitem		100		mag%	100		25	25	levelreq	100		20	20																																																																										0
res pois max shld	1			100					3	shld,any	jew	r25					useitem		100		res-pois-max	100		5	5	levelreq	100		8	8																																																																										0
res fire max shld	1			100					3	shld,any	jew	r26					useitem		100		res-fire-max	100		5	5	levelreq	100		8	8																																																																										0
res-cold max shld	1			100					3	shld,any	jew	r27					useitem		100		res-cold-max	100		5	5	levelreq	100		8	8																																																																										0
res ltng max shld	1			100					3	shld,any	jew	r28					useitem		100		res-ltng-max	100		5	5	levelreq	100		8	8																																																																										0
res all max shld	1			100					5	shld,any	r25	r26	r27	r28			useitem		100		res-all-max	100		5	5	levelreq	100		25	25																																																																										0
Mana shield	1			100					3	shld,any	jew	r29					useitem		100		mana	100		50	50	levelreq	100		13	13																																																																										0
dmg reduced shield	1			100					3	shld,any	jew	r30					useitem		100		red-dmg%	100		8	8	levelreq	100		18	18																																																																										0
life shield	1			100					3	shld,any	jew	r31					useitem		100		hp	100		50	50	levelreq	100		11	11																																																																										0
no freeze shield	1			100					3	shld,any	jew	r32					useitem		100		nofreeze	100		1	1	levelreq	100		20	20																																																																										0
res pois max shld	1			100					3	armo,any	jew	r25					useitem		100		res-pois-max	100		5	5	levelreq	100		8	8																																																																										0
res fire max shld	1			100					3	armo,any	jew	r26					useitem		100		res-fire-max	100		5	5	levelreq	100		8	8																																																																										0
res-cold max shld	1			100					3	armo,any	jew	r27					useitem		100		res-cold-max	100		5	5	levelreq	100		8	8																																																																										0
res ltng max shld	1			100					3	armo,any	jew	r28					useitem		100		res-ltng-max	100		5	5	levelreq	100		8	8																																																																										0
crafted hp charm	1			100	3	12	30		6	cm3,mag	jew,uni	r16,qty=3	r01				usetype,crf		100		hp	100		20	40																																																																															0
crafted mana charm	1			100	3	12	33		6	cm3,mag	jew,uni	r17,qty=3	r01				usetype,crf		100		mana	100		20	40																																																																															0
crafted dex charm	1			100	3	12	36		6	cm3,mag	jew,uni	r18,qty=3	r01				usetype,crf		100		dex	100		10	15																																																																															0
crafted dex charm	1			100	3	12	39		6	cm3,mag	jew,uni	r19,qty=3	r01				usetype,crf		100		str	100		10	15																																																																															0
crafted def charm	1			100	3	12	42		6	cm3,mag	jew,uni,qty=2	r21,qty=2	r01				usetype,crf		100		ac	100		50	50	dmg-norm	100		3	10																																																																										0
crafted resist charm	1			100	3	12	45		6	cm3,mag	jew,uni,qty=2	r22,qty=2	r01				usetype,crf		100		res-all	100		15	20																																																																															0
crafted mf charm	1			100	3	12	50		6	cm3,mag	jew,uni,qty=2	r24,qty=2	r01				usetype,crf		100		mag%	100		20	35																																																																															0
crafted added xp charm	1			100	3	12	55		6	cm3,mag	jew,uni,qty=2	r27,qty=2	r01				usetype,crf		100		addxp	100		5	12																																																																															0
crafted mf charm	1			100	3	12	60		6	cm3,mag	jew,uni,qty=3	r33	r01				usetype,crf		100		allskills	100		1	1																																																																															0
crafted barb amulet	1			100	3	12	49	bar	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		bar	100		1	1	skilltab	100	12	2	2																																																																										0
crafted sorc amulet	1			100	3	12	49	sor	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		sor	100		1	1	skilltab	100	4	2	2																																																																										0
crafted ama amulet	1			100	3	12	49	ama	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		ama	100		1	1	skilltab	100	1	2	2																																																																										0
crafted necro amulet	1			100	3	12	49	nec	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		nec	100		1	1	skilltab	100	8	2	2																																																																										0
crafted pally amulet	1			100	3	12	49	pal	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		pal	100		1	1	skilltab	100	10	2	2																																																																										0
crafted druid amulet	1			100	3	12	49	dru	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		dru	100		1	1	skilltab	100	16	2	2																																																																										0
crafted assassin amulet	1			100	3	12	49	ass	6	amu,uni	jew,uni,qty=4	r23					usetype,crf		100		ass	100		1	1	skilltab	100	19	2	2																																																																										0
crafted resist ring	1			100	3	12	32		5	rin,uni	jew,uni,qty=3	r22					usetype,crf		100		res-all	100		10	15																																																																															0
crafted xp ring	1			100	3	12	37		5	rin,uni	jew,uni,qty=3	r23					usetype,crf		100		addxp	100		3	5																																																																															0
crafted mf ring	1			100	3	12	41		5	rin,uni	jew,uni,qty=3	r24					usetype,crf		100		mag%	100		20	25																																																																															0
crafted att% ring	1			100	3	12	45		5	rin,uni	jew,uni,qty=3	r25					usetype,crf		100		att%	100		10	15																																																																															0
crafted d-l ring	1			100	3	12	49		5	rin,uni	jew,uni,qty=3	r26					usetype,crf		100		lifesteal	100		6	6	manasteal	100		6	6																																																																										0
crafted dmg% ring	1			100	3	12	53		5	rin,uni	jew,uni,qty=3	r27					usetype,crf		100		dmg%	100		40	60																																																																															0
crafted ias ring	1			100	3	12	57		5	rin,uni	jew,uni,qty=3	r28					usetype,crf		100		swing1	100		15	15																																																																															0
crafted hp ring	1			100	3	12	61		5	rin,uni	jew,uni,qty=3	r29					usetype,crf		100		hp%	100		15	20																																																																															0
crafted dmg reduced ring	1			100	3	12	65		5	rin,uni	jew,uni,qty=3	r30					usetype,crf		100		red-dmg%	100		7	10																																																																															0
crafted mana ring	1			100	3	12	69		5	rin,uni	jew,uni,qty=3	r31					usetype,crf		100		mana%	100		15	20																																																																															0
crafted absorb ring	1			100	3	12	73		5	rin,uni	jew,uni,qty=3	r32					usetype,crf		100		abs-cold%	100		10	15	abs-fire%	100		10	15	abs-ltng%	100		10	15																																																																					0
chipped weapon	1			100					2	weap,any	gcv						useitem		100		att	100		20	20	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	gcb						useitem		100		dmg-cold	100	50	1	2	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	gcg						useitem		100		dmg-pois	100	150	10	10	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	gcr						useitem		100		dmg-fire	100		2	3	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	gcw						useitem		100		dur	100		1	1	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	gcy						useitem		100		dmg-ltng	100		1	4	levelreq	100		1	1																																																																										0
chipped weapon	1			100					2	weap,any	skc						useitem		100		dmg-max	100		1	1	levelreq	100		1	1																																																																										0
Flawed weapon	1			100					2	weap,any	gfv						useitem		100		att	100		30	30	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	gfb						useitem		100		dmg-cold	100	50	3	6	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	gfg						useitem		100		dmg-pois	100	150	20	20	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	gfr						useitem		100		dmg-fire	100		6	9	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	gfw						useitem		100		dur	100		2	2	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	gfy						useitem		100		dmg-ltng	100		1	15	levelreq	100		3	3																																																																										0
flawed weapon	1			100					2	weap,any	skf						useitem		100		dmg-norm	100		1	4	levelreq	100		3	3																																																																										0
normal weapon	1			100					2	weap,any	gsv						useitem		100		att	100		50	50	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	gsb						useitem		100		dmg-cold	100	50	6	12	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	gsg						useitem		100		dmg-pois	100	150	30	30	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	gsr						useitem		100		dmg-fire	100		12	20	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	gsw						useitem		100		dur	100		3	3	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	gsy						useitem		100		dmg-ltng	100		1	30	levelreq	100		5	6																																																																										0
normal weapon	1			100					2	weap,any	sku						useitem		100		dmg-norm	100		2	7	levelreq	100		5	6																																																																										0
flawless weapon	1			100					2	weap,any	gzv						useitem		100		att	100		75	75	levelreq	100		8	8																																																																										0
flawless weapon	1			100					2	weap,any	glb						useitem		100		dmg-cold	100	75	12	20	levelreq	100		8	8																																																																										0
flawless weapon	1			100					2	weap,any	glg						useitem		100		dmg-pois	100	150	60	60	levelreq	100		8	8																																																																										0
flawless weapon	1			100					2	weap,any	glr						useitem		100		dmg-fire	100		18	35	levelreq	100		8	8																																																																										0
flawless weapon	1			100					2	weap,any	glw						useitem		100		dur	100		4	4	levelreq	100		1	1																																																																										0
Flawless weapon	1			100					2	weap,any	gly						useitem		100		dmg-ltng	100		1	50	levelreq	100		8	8																																																																										0
Flawless weapon	1			100					2	weap,any	skl						useitem		100		dmg-norm	100		3	11	levelreq	100		8	8																																																																										0
crafted all skills amulet	1			100	3	12	70		6	amu,uni	jew,uni,qty=3	r27	r31				usetype,crf		100		allskills	100		2	2	mag%	100		35	50	addxp	100		1	3																																																																					0
crafted level 10 amulet	1			100	3	12	10		4	amu,mag	jew,mag,qty=2	r01					usetype,crf		100		hp	100		20	30	heal-kill	100		4	6	res-all	100		10	15																																																																					0
crafted level 25 amulet	1			100	3	12	25		4	amu,mag	jew,mag,qty=2	r11					usetype,crf		100		charged	100	42	12	9	gethit-skill	100	42	7	4																																																																										0
crafted level 35 amulet	1			100	3	12	35		4	amu,rar	jew,rar,qty=2	r17					usetype,crf		100		addxp	100		12	20																																																																															0
crafted lvl 13 weapon	1			100	3	12	13		3	weap,rar	jew,mag	gcw					usetype,crf		100		dmg%	100		40	70																																																																															0
crafted lvl 20 weapon	1			100	3	12	20		4	weap,rar	jew,mag	gsw	r06				usetype,crf		100		dmg%	100		60	80	dmg-norm	100		5	15																																																																										0
crafted lvl 31 weapon	1			100	3	12	31		5	weap,rar	jew,mag,qty=2	glw	r13				usetype,crf		100		dmg%	100		60	80	dmg-norm	100		5	15	swing1	100		20	20																																																																					0
crafted lvl 44 weapon	1			100	3	12	44		5	weap,rar	jew,rar,qty=2	r19	r13				usetype,crf		100		dmg%	100		80	100	allskills	100		1	1	swing1	100		20	20																																																																					0
crafted lvl 57 weapon	1			100	3	12	57		5	weap,rar	jew,rar,qty=2	r11	r26				usetype,crf		100		dmg%	100		100	140	lifesteal	100		6	8	manasteal	100		6	8	allskills	100		1	1																																																																0
crafted lvl 69 weapon	1			100	3	12	69		5	weap,rar	jew,uni,qty=2	r27	r29				usetype,crf		100		dmg%	100		150	175	swing2	100		30	30	mag%	100		30	30	allskills	100		1	1																																																																0
crafted lvl 78 weapon	1			100	3	12	78		6	weap,rar	jew,uni,qty=2	r30	r32	r33			usetype,crf		100		dmg%	100		200	300	swing2	100		40	40	mag%	100		75	75	allskills	100		2	2																																																																0
crafted arrows	1			100	3	12	25		3	aqv,nor	r10	jew,rar					usetype,crf		100		hit-skill	100	42	100	6	noheal	100		1	1	levelreq	100		15	15																																																																					0
crafted arrows	1			100	3	12	30		3	aqv,nor	r12	jew,rar					usetype,crf		100		hit-skill	100	44	100	13	noheal	100		1	1	levelreq	100		18	18																																																																					0
crafted arrows	1			100	3	12	35		3	aqv,nor	r14	jew,rar					usetype,crf		100		hit-skill	100	66	100	1	noheal	100		1	1	levelreq	100		21	21																																																																					0
crafted arrows	1			100	3	12	40		3	aqv,nor	r16	jew,rar					usetype,crf		100		hit-skill	100	74	100	3	noheal	100		1	1	levelreq	100		24	24																																																																					0
crafted arrows	1			100	3	12	45		3	aqv,nor	r18	jew,rar					usetype,crf		100		hit-skill	100	87	100	9	noheal	100		1	1	levelreq	100		27	27																																																																					0
crafted arrows	1			100	3	12	50		3	aqv,nor	r20	jew,rar					usetype,crf		100		hit-skill	100	91	100	9	noheal	100		1	1	levelreq	100		30	30																																																																					0
crafted lvl 12 armor	1			100	3	12	12		3	tors,rar	jew,mag	gcr					usetype,crf		100		ac%	100		30	40	hp	100		20	30																																																																										0
crafted lvl 19 armor	1			100	3	12	19		3	tors,rar	jew,mag	gsr					usetype,crf		100		ac%	100		40	50	hp	100		35	50	res-all	100		10	15																																																																					0
crafted lvl 30 armor	1			100	3	12	30		4	tors,rar	jew,rar	r08	r10				usetype,crf		100		ac%	100		50	60	balance1	100		20	20	addxp	100		1	2																																																																					0
crafted lvl 43 armor	1			100	3	12	43		4	tors,rar	jew,rar	r14	r19				usetype,crf		100		ac%	100		65	80	swing1	100		15	15	move1	100		15	15																																																																					0
crafted lvl 57 armor	1			100	3	12	57		4	tors,rar	jew,uni	r21	r24				usetype,crf		100		ac%	100		80	100	mag%	100		50	75	cast1	100		15	15																																																																					0
crafted lvl 69 armor	1			100	3	12	69		4	tors,rar	jew,uni	r28	r25				usetype,crf		100		ac%	100		100	125	allskills	100		1	1	all-stats	100		10	10																																																																					0
crafted lvl 80 armor	1			100	3	12	80		4	tors,rar	jew,uni	r29	r31				usetype,crf		100		ac%	100		125	150	allskills	100		2	2	regen	100		10	10	regen-mana	100		75	100																																																																0
Adds 1 Socket	1			100					2	armo,crf	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	weap,crf	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	shld,rar	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	armo,mag	r10						useitem		100		sock	100		3	3																																																																															0
Adds 1 Socket	1			100					2	shld,mag	r10						useitem		100		sock	100		3	3																																																																															0
Adds 1 Socket	1			100					2	armo,rar	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	shld,rar	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	shld,crf	r15						useitem		100		sock	100		2	2																																																																															0
Adds 1 Socket	1			100					2	shld,set	r20						useitem		100		sock	100		1	1																																																																															0
Adds 1 Socket	1			100					2	armo,set	r20						useitem		100		sock	100		1	1																																																																															0
Adds 1 Socket	1			100					2	weap,set	r20						useitem		100		sock	100		1	1																																																																															0
Adds 1 Socket	1			100					2	shld,uni	r20						useitem		100		sock	100		1	1																																																																															0
Adds 1 Socket	1			100					2	armo,uni	r20						useitem		100		sock	100		1	1																																																																															0
Adds 1 Socket	1			100					2	weap,uni	r20						useitem		100		sock	100		1	1																																																																															0
crafted lvl 10 gloves	1			100	3	12	10		3	glov,rar	jew,mag	gcv					usetype,crf		100		swing1	100		10	10	cast1	100		10	10																																																																										0
crafted lvl 20 gloves	1			100	3	12	20		3	glov,rar	jew,mag	gsv					usetype,crf		100		hp	100		20	30	mana	100		20	30																																																																										0
crafted lvl 30 gloves	1			100	3	12	30		4	glov,rar	jew,rar	r06	r15				usetype,crf		100		swing2	100		20	20	str	100		5	10	dex	100		5	10																																																																					0
crafted lvl 50 gloves	1			100	3	12	51		4	glov,rar	jew,uni	r20	r24				usetype,crf		100		mag%	100		40	50	gold%	100		75	100	ac%	100		75	100																																																																					0
crafted lvl 70 gloves	1			100	3	12	70		5	glov,rar	jew,uni,qty=2	r30	r31				usetype,crf		100		allskills	100		1	1	swing2	100		25	25	ac%	100		75	100	cast2	100		20	20	crush/lvl	25	3																																																													0
crafted lvl 10 belts	1			100	3	12	10		3	belt,rar	jew,mag	gcg					usetype,crf		100		hp	100		20	30	red-dmg	100		6	10																																																																										0
crafted lvl 20 belts	1			100	3	12	20		3	belt,rar	jew,mag	gsg					usetype,crf		100		ac%	100		40	50	heal-kill	100		3	5																																																																										0
crafted lvl 30 belts	1			100	3	12	30		4	belt,rar	jew,rar	r08	r16				usetype,crf		100		regen	100		3	6	regen-mana	100		40	60																																																																										0
crafted lvl 50 belts	1			100	3	12	51		4	belt,rar	jew,uni	r17	r27				usetype,crf		100		res-pois-len	100		50	75	red-dmg%	100		5	10																																																																										0
crafted lvl 70 belts	1			100	3	12	70		5	belt,rar	jew,uni,qty=2	r24	r32				usetype,crf		100		allskills	100		1	1	addxp	100		2	3	cheap	100		3	5																																																																					0
crafted lvl 10 boots	1			100	3	12	10		3	boot,rar	jew,mag	gcb					usetype,crf		100		mana	100		20	30	move1	100		10	10																																																																										0
crafted lvl 20 boots	1			100	3	12	20		3	boot,rar	jew,mag	gsb					usetype,crf		100		ac%	100		25	50	dex	100		10	15																																																																										0
crafted lvl 30 boots	1			100	3	12	30		4	boot,rar	jew,rar	r05	r12				usetype,crf		100		balance2	100		20	20	move2	100		30	30																																																																										0
crafted lvl 50 boots	1			100	3	12	51		4	boot,rar	jew,uni	r18	r22				usetype,crf		100		kick	100		5	10	dmg%	100		35	50																																																																										0
crafted lvl 70 boots	1			100	3	12	70		5	boot,rar	jew,uni,qty=2	r28	r30				usetype,crf		100		move2	100		30	30	ac%	100		75	100	allskills	100		1	1																																																																					0
crafted lvl 10 helms	1			100	3	12	10		3	helm,rar	jew,mag	gcy					usetype,crf		100		mana-kill	100		1	3	regen-mana	100		35	50																																																																										0
crafted lvl 20 helms	1			100	3	12	20		3	helm,rar	jew,mag	gsy					usetype,crf		100		allskills	100		1	1	ac%	100		50	60																																																																										0
crafted lvl 30 helms	1			100	3	12	30		4	helm,rar	jew,rar	r07	r11				usetype,crf		100		cast1	100		15	15	balance2	100		20	20																																																																										0
crafted lvl 50 helms	1			100	3	12	51		4	helm,rar	jew,uni	r17	r23				usetype,crf		100		allskills	100		1	1	enr	100		10	20	ac%	100		70	80																																																																					0
crafted lvl 70 helms	1			100	3	12	70		5	helm,rar	jew,uni,qty=2	r27	r32				usetype,crf		100		allskills	100		2	2	dmg-to-mana	100		10	10	block1	100		15	15	heal-kill	100		5	8																																																																0
crafted lvl 10 shields	1			100	3	12	10		3	shld,rar	jew,mag	skc					usetype,crf		100		thorns	100		6	10	block	100		8	15																																																																										0
crafted lvl 20 shields	1			100	3	12	20		3	shld,rar	jew,mag	sku					usetype,crf		100		balance2	100		20	20	block2	100		20	20																																																																										0
crafted lvl 30 shields	1			100	3	12	30		4	shld,rar	jew,rar	r10	r14				usetype,crf		100		ac%	100		50	75	lifesteal	100		5	5	block	10		10	15																																																																					0
crafted lvl 50 shields	1			100	3	12	51		4	shld,rar	jew,uni	r15	r21				usetype,crf		100		ac%	100		65	90	block3	100		30	30	res-all	100		20	30																																																																					0
crafted lvl 70 shields	1			100	3	12	70		5	shld,rar	jew,uni,qty=2	r26	r29				usetype,crf		100		allskills	100		2	2	sock	100		2	3	block	100		30	30	dam%	100		25	50																																																																0
repair eth item	1			100					4	weap,any,eth	jew,uni,qty=2	r21					useitem,rep,dur=255		100																																																																																					0
repair eth item	1			100					4	armo,any,eth	jew,uni,qty=2	r21					useitem,rep,dur=255		100																																																																																					0
repair eth item	1			100					4	shld,any,eth	jew,uni,qty=2	r21					useitem,rep,dur=255		100																																																																																					0
forces item ethereal	1			100					4	weap,any	jew,uni,qty=2	r27					usetype,eth		100																																																																																					0
forces item ethereal	1			100					4	armo,any	jew,uni,qty=2	r27					usetype,eth		100																																																																																					0
forces item ethereal	1			100					4	shld,any	jew,uni,qty=2	r27					usetype,eth		100																																																																																					0
just foe test	1			100					5	hpot	mpot						toa																																																																																							0
1cv -> gcv	1			0	18	70	1		1	1cv							gcv																																																																																							0
gcv -> 1cv	1			0					1	gcv							1cv																																																																																							0
1cb -> gcb	1			0	18	70	1		1	1cb							gcb																																																																																							0
gcb -> 1cb	1			0					1	gcb							1cb																																																																																							0
1cr -> gcr	1			0	18	70	1		1	1cr							gcr																																																																																							0
gcr -> 1cr	1			0					1	gcr							1cr																																																																																							0
1cy -> gcy	1			0	18	70	1		1	1cy							gcy																																																																																							0
gcy -> 1cy	1			0					1	gcy							1cy																																																																																							0
1cg -> gcg	1			0	18	70	1		1	1cg							gcg																																																																																							0
gcg -> 1cg	1			0					1	gcg							1cg																																																																																							0
1cw -> gcw	1			0	18	70	1		1	1cw							gcw																																																																																							0
gcw -> 1cw	1			0					1	gcw							1cw																																																																																							0
1kc -> skc	1			0	18	70	1		1	1kc							skc																																																																																							0
skc -> 1kc	1			0					1	skc							1kc																																																																																							0
1fv -> gfv (etc)	1			0	18	70	1		1	1fv							gfv																																																																																							0
->	1			0					1	gfv							1fv																																																																																							0
1fb ->	1			0	18	70	1		1	1fb							gfb																																																																																							0
->	1			0					1	gfb							1fb																																																																																							0
1fr ->	1			0	18	70	1		1	1fr							gfr																																																																																							0
->	1			0					1	gfr							1fr																																																																																							0
1fy ->	1			0	18	70	1		1	1fy							gfy																																																																																							0
->	1			0					1	gfy							1fy																																																																																							0
1fg ->	1			0	18	70	1		1	1fg							gfg																																																																																							0
->	1			0					1	gfg							1fg																																																																																							0
1fw ->	1			0	18	70	1		1	1fw							gfw																																																																																							0
->	1			0					1	gfw							1fw																																																																																							0
1kf ->	1			0	18	70	1		1	1kf							skf																																																																																							0
->	1			0					1	skf							1kf																																																																																							0
1sv -> gsv	1			0	18	70	1		1	1sv							gsv																																																																																							0
->	1			0					1	gsv							1sv																																																																																							0
1sb ->	1			0	18	70	1		1	1sb							gsb																																																																																							0
->	1			0					1	gsb							1sb																																																																																							0
1sr ->	1			0	18	70	1		1	1sr							gsr																																																																																							0
->	1			0					1	gsr							1sr																																																																																							0
1sy ->	1			0	18	70	1		1	1sy							gsy																																																																																							0
->	1			0					1	gsy							1sy																																																																																							0
1sg ->	1			0	18	70	1		1	1sg							gsg																																																																																							0
->	1			0					1	gsg							1sg																																																																																							0
1sw ->	1			0	18	70	1		1	1sw							gsw																																																																																							0
->	1			0					1	gsw							1sw																																																																																							0
1ku ->	1			0	18	70	1		1	1ku							sku																																																																																							0
->	1			0					1	sku							1ku																																																																																							0
1zv -> gzv	1			0	18	70	1		1	1zv							gzv																																																																																							0
->	1			0					1	gzv							1zv																																																																																							0
1lb ->	1			0	18	70	1		1	1lb							glb																																																																																							0
->	1			0					1	glb							1lb																																																																																							0
1lr ->	1			0	18	70	1		1	1lr							glr																																																																																							0
->	1			0					1	glr							1lr																																																																																							0
1ly ->	1			0	18	70	1		1	1ly							gly																																																																																							0
->	1			0					1	gly							1ly																																																																																							0
1lg ->	1			0	18	70	1		1	1lg							glg																																																																																							0
->	1			0					1	glg							1lg																																																																																							0
1lw ->	1			0	18	70	1		1	1lw							glw																																																																																							0
->	1			0					1	glw							1lw																																																																																							0
1kl ->	1			0	18	70	1		1	1kl							skl																																																																																							0
->	1			0					1	skl							1kl																																																																																							0
1pv ->	1			0	18	70	1		1	1pv							gpv																																																																																							0
->	1			0					1	gpv							1pv																																																																																							0
1pb ->	1			0	18	70	1		1	1pb							gpb																																																																																							0
->	1			0					1	gpb							1pb																																																																																							0
1pr ->	1			0	18	70	1		1	1pr							gpr																																																																																							0
->	1			0					1	gpr							1pr																																																																																							0
1py ->	1			0	18	70	1		1	1py							gpy																																																																																							0
->	1			0					1	gpy							1py																																																																																							0
1pg ->	1			0	18	70	1		1	1pg							gpg																																																																																							0
->	1			0					1	gpg							1pg																																																																																							0
