name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	worldevent
Serpentskin Armor	0	0	2	1	111	126	0	43	0	0	24	0	36	1	24	34960	593688	xea	xea			lea	lea	xea	uea	1	2	3	1	2	1	flplea	invlea			0	0	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Demonhide Armor	0	0	3	1	122	136	0	50	0	0	28	0	37	1	25	39090	710274	xla	xla			hla	hla	xla	ula	1	2	3	1	2	1	flphla	invhla			1	1	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Trellised Armor	0	0	4	1	138	153	0	61	0	0	32	0	40	1	25	47582	917121	xtu	xtu			stu	stu	xtu	utu	1	2	3	1	2	1	flpstu	invstu	invxtuu	invxtuu	1	0	0	1	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Linked Mail	0	0	4	1	158	172	5	74	0	0	26	0	42	1	25	56600	1181244	xng	xng			rng	rng	xng	ung	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Tigulated Mail	0	0	4	1	176	190	10	86	0	0	36	0	43	1	25	64242	1419579	xcl	xcl			scl	scl	xcl	ucl	1	2	3	1	3	1	flpscl	invscl			1	1	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Mesh Armor	0	0	4	1	198	213	5	92	0	0	45	0	45	1	25	75440	1722282	xhn	xhn			chn	chn	xhn	uhn	1	2	3	1	3	1	flpchn	invchn			1	1	1	1	2	2	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Cuirass	0	0	4	1	188	202	0	65	0	0	50	0	47	1	25	74719	1840368	xrs	xrs			brs	brs	xrs	urs	1	2	3	1	3	1	flpbrs	invbrs		invxrss	0	0	2	0	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Russet Armor	0	0	4	1	225	243	5	97	0	0	30	0	49	1	25	93404	2364705	xpl	xpl			spl	spl	xpl	upl	1	2	3	1	3	1	flpspl	invspl			1	1	2	1	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Templar Coat	0	0	4	1	252	274	10	118	0	0	60	0	52	1	25	111395	3053784	xlt	xlt			plt	plt	xlt	ult	1	2	3	1	3	1	flpplt	invplt			2	2	2	2	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Sharktooth Armor	0	0	4	1	242	258	5	103	0	0	48	0	55	1	25	111674	3309477	xld	xld			fld	fld	xld	uld	1	2	3	1	3	1	flpfld	invfld			1	1	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Embossed Plate	0	0	4	1	282	303	5	125	0	0	55	0	58	1	25	137817	4372479	xth	xth			gth	gth	xth	uth	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Chaos Armor	0	0	4	1	315	342	10	140	0	0	70	0	61	1	25	162672	5665233	xul	xul			ful	ful	xul	uul	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Ornate Armor	0	0	4	1	417	450	5	170	0	0	60	0	64	1	25	225120	8089446	xar	xar			aar	aar	xar	uar	1	2	3	1	4	1	flpaar	invaar	invxaru	invxaru	1	2	2	2	2	0	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Mage Plate	0	0	4	1	225	261	0	55	0	0	60	0	60	1	25	118407	3982494	xtp	xtp			ltp	ltp	xtp	utp	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	0	xxx	xxx	1	0	
Defender	0	0	2	1	41	49	0	38	0	10	68	0	34	1	22	12562	231369	xuc	xuc			buc	buc	xuc	uuc	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	8	12	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Round Shield	0	0	3	1	47	55	0	53	0	12	64	0	37	1	25	15451	311205	xml	xml			buc	sml	xml	uml	7	2	2	1	2	2	flpsml	invsml	invxmlu	invxmlu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	7	14	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	5	0	xxx	xxx	1	0	
Scutum	0	0	4	1	53	61	5	71	0	14	62	0	42	1	25	19537	445077	xrg	xrg			lrg	lrg	xrg	urg	7	2	3	1	3	2	flplrg	invlrg	invxrgu	invxrgu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	11	15	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	0	xxx	xxx	1	0	
Dragon Shield	0	0	4	1	59	67	0	91	0	18	76	0	45	1	25	23094	569832	xit	xit			kit	kit	xit	uit	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	15	24	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	0	xxx	xxx	1	0	
Pavise	0	0	4	1	68	78	10	133	0	24	72	0	50	1	25	29550	835500	xow	xow			tow	tow	xow	uow	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	10	17	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	0	xxx	xxx	1	0	
Ancient Shield	0	0	4	1	80	93	5	110	0	16	80	0	56	1	25	39220	1267020	xts	xts			kit	gts	xts	uts	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	12	16	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	0	xxx	xxx	1	0	
Demonhide Gloves	0	0	1	1	28	35	0	20	0	0	12	0	33	1	21	8480	192306	xlg	xlg			lgl	lgl	xlg	ulg	16	2	2	1	4	1	flplgl	invlgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Sharkskin Gloves	0	0	1	1	33	39	0	20	0	0	14	0	39	1	25	11420	255189	xvg	xvg			vgl	vgl	xvg	uvg	16	2	2	1	4	1	flpvgl	invvgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Heavy Bracers	0	0	2	1	37	44	0	58	0	0	16	0	43	1	25	14111	344418	xmg	xmg			mgl	mgl	xmg	umg	16	2	2	1	4	1	flpmgl	invmgl									0					0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Battle Gauntlets	0	0	3	1	39	47	0	88	0	0	18	0	49	1	25	16913	483075	xtg	xtg			mgl	tgl	xtg	utg	16	2	2	1	4	1	flptgl	invtgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
War Gauntlets	0	0	4	1	43	53	0	110	0	0	24	0	54	1	25	20900	671232	xhg	xhg			hgl	hgl	xhg	uhg	16	2	2	1	4	1	flphgl	invhgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Demonhide Boots	0	0	1	1	28	35	0	20	0	0	12	0	36	1	24	9230	192306	xlb	xlb			lbt	lbt	xlb	ulb	16	2	2	1	4	1	flplbt	invlbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	26	46	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Sharkskin Boots	0	0	1	1	33	39	0	47	0	0	14	0	39	1	25	11393	254577	xvb	xvb			vbt	vbt	xvb	uvb	16	2	2	1	4	1	flpvbt	invvbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	28	50	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Mesh Boots	0	0	2	1	37	44	0	65	0	0	16	0	43	1	25	14103	344226	xmb	xmb			mbt	mbt	xmb	umb	16	2	2	1	4	1	flpmbt	invmbt									0					0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0			0	6	0	23	52	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Battle Boots	0	0	3	1	39	47	0	95	0	0	18	0	49	1	25	16905	482850	xtb	xtb			mbt	tbt	xtb	utb	16	2	2	1	4	1	flptbt	invtbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	37	64	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
War Boots	0	0	4	1	43	53	0	125	0	0	24	0	54	1	25	20885	670722	xhb	xhb			hbt	hbt	xhb	uhb	16	2	2	1	4	1	flphbt	invhbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	39	80	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Demonhide Sash	0	0	1	1	29	34	0	20	0	0	12	0	36	1	24	9304	193458	zlb	zlb			lbl	lbl	zlb	ulc	16	2	1	1	2	1	flplbl	invlbl									0					0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Sharkskin Belt	0	0	1	1	31	36	0	20	0	0	14	0	39	1	25	10700	242427	zvb	zvb			vbl	vbl	zvb	uvc	16	2	1	1	2	1	flpvbl	invvbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Mesh Belt	0	0	2	1	35	40	0	58	0	0	16	0	43	1	25	13143	324783	zmb	zmb			mbl	mbl	zmb	umc	16	2	1	1	2	1	flpmbl	invmbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Battle Belt	0	0	2	1	37	42	0	88	0	0	18	0	49	1	25	15713	453555	ztb	ztb			mbl	tbl	ztb	utc	16	2	1	1	2	1	flptbl	invtbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
War Belt	0	0	3	1	41	52	0	110	0	0	24	0	54	1	25	20350	655536	zhb	zhb			hbl	hbl	zhb	uhc	16	2	1	1	2	1	flphbl	invhbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	0	
Grim Helm	0	0	2	1	60	125	0	58	0	0	40	0	50	1	25	37683	1046841	xh9	xh9			bhm	bhm	xh9	uh9	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	0	xxx	xxx	1	0	
Grim Shield	0	0	2	1	50	150	0	58	0	20	70	0	48	1	25	39143	1012569	xsh	xsh			bsh	bsh	xsh	ush	7	2	3	1	2	2	flpbsh	invbsh	invxshu	invxshu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	14	20	100		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Barbed Shield	0	0	3	1	58	78	0	65	0	17	55	0	42	1	25	23155	516972	xpk	xpk			spk	spk	xpk	upk	7	2	3	1	2	2	flpspk	invspk	invxpku	invxpku							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	18	35	100		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Expansion																																																																																																																																																																					
Wolf Head	100	0	1	1	8	11	0	16	0	0	20	0	4	1	3	364	14604	dr1	dr1			dr1	dr1	dr6	drb	0	2	2	1	3	1	flpdr1	invdr1									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	0	xxx	xxx	1	0	
Hawk Helm	100	0	1	1	4	15	0	20	0	0	20	0	8	1	6	664	23520	dr2	dr2			dr4	dr2	dr7	drc	0	2	2	1	3	1	flpdr4	invdr2									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	0	xxx	xxx	1	0	
Antlers	100	0	1	1	18	24	0	24	0	0	20	0	16	1	12	2832	65556	dr3	dr3			dr3	dr3	dr8	drd	0	2	2	1	3	1	flpdr3	invdr3									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	0	xxx	xxx	1	0	
Falcon Mask	100	0	1	1	12	28	0	28	0	0	20	0	20	1	15	3332	87600	dr4	dr4			dr4	dr4	dr9	dre	0	2	2	1	3	1	flpdr4	invdr4									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	0	xxx	xxx	1	0	
Spirit Mask	100	0	1	1	22	35	0	30	0	0	20	0	24	1	18	5670	145650	dr5	dr5			dr1	dr5	dra	drf	0	2	2	1	3	1	flpdr1	invdr5									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx	1	0	
Jawbone Cap	100	0	2	1	10	15	0	25	0	0	25	0	4	1	3	320	14250	ba1	ba1			ba1	ba1	ba6	bab	0	2	2	1	3	1	flpba1	invba1									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	0	xxx	xxx	1	0	
Fanged Helm	100	0	2	1	15	20	0	35	0	0	35	0	8	1	6	750	24750	ba2	ba2			ba1	ba2	ba7	bac	0	2	2	1	3	1	flpba1	invba2									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	0	xxx	xxx	1	0	
Horned Helm	100	0	2	1	25	30	0	45	0	0	45	0	16	1	12	2750	62250	ba3	ba3			ba3	ba3	ba8	bad	0	2	2	1	3	1	flpba3	invba3									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	0	xxx	xxx	1	0	
Assault Helmet	100	0	2	1	30	35	0	55	0	0	50	0	20	1	15	3420	88080	ba4	ba4			ba5	ba4	ba9	bae	0	2	2	1	3	1	flpba5	invba4									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	0	xxx	xxx	1	0	
Avenger Guard	100	0	2	1	35	50	0	65	0	0	55	0	24	1	18	5785	147840	ba5	ba5			ba5	ba5	baa	baf	0	2	2	1	3	1	flpba5	invba5									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0	
Targe	100	0	2	1	8	12	0	16	0	10	20	0	4	1	3	384	18951	pa1	pa1		304	pa1	pa1	pa6	pab	7	2	2	1	4	2	flppa1	invpa1									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0			0	1	0	2	6	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	0	xxx	xxx	1	0	
Rondache	100	0	2	1	10	18	0	26	0	15	30	0	8	1	6	982	31551	pa2	pa2		304	pa1	pa2	pa7	pac	7	2	2	1	4	2	flppa1	invpa2									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0			0	1	0	2	8	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	0	xxx	xxx	1	0	
Heraldic Shield	100	0	2	1	16	26	0	40	0	20	40	0	16	1	12	2816	63720	pa3	pa3		304	pa3	pa3	pa8	pad	7	2	4	1	4	2	flppa3	invpa3									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0			0	1	0	3	9	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	0	xxx	xxx	1	0	
Aerin Shield	100	0	2	1	26	36	0	50	0	22	50	0	20	1	15	5158	130671	pa4	pa4		304	pa3	pa4	pa9	pae	7	2	4	1	4	2	flppa3	invpa4									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0			0	1	0	4	10	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	0	xxx	xxx	1	0	
Crown Shield	100	0	2	1	30	40	0	65	0	25	60	0	24	1	18	6935	246225	pa5	pa5		304	pa5	pa5	paa	paf	7	2	2	1	4	2	flppa5	invpa5									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0			0	1	0	4	12	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx	1	0	
Preserved Head	100	0	1	1	2	5	0	12	0	3	20	0	4	1	3	128	13884	ne1	ne1		305	ne1	ne1	ne6	neb	10	2	2	1	2	2	flpne1	invne1									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	0	xxx	xxx	1	0	
Zombie Head	100	0	1	1	4	8	0	14	0	5	20	0	8	1	6	418	22008	ne2	ne2		305	ne2	ne2	ne7	neg	10	2	2	1	2	2	flpne2	invne2									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	0	xxx	xxx	1	0	
Unraveller Head	100	0	1	1	6	10	0	18	0	8	20	0	16	1	12	1070	44340	ne3	ne3		305	ne3	ne3	ne8	ned	10	2	2	1	2	2	flpne3	invne3									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	0	xxx	xxx	1	0	
Gargoyle Head	100	0	1	1	10	16	0	20	0	10	20	0	20	1	15	2164	69960	ne4	ne4		305	ne3	ne4	ne9	nee	10	2	2	1	2	2	flpne3	invne4									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	0	xxx	xxx	1	0	
Demon Head	100	0	1	1	15	20	0	25	0	12	20	0	24	1	18	3475	106050	ne5	ne5		305	ne2	ne5	nea	nef	10	2	2	1	2	2	flpne2	invne5									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	0	0	xxx	xxx	1	0	
Circlet	100	0	1	1	20	30	0	0	0	0	35	0	24	1	16	12000	256875	ci0	ci0	3		lit	ci0	ci2	ci3	0	2	2	1	2	1	flpci0	invci0									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	2	0	xxx	xxx	1	0	
Coronet	100	0	1	1	30	40	0	0	0	0	30	0	52	1	39	23000	513750	ci1	ci1	8		lit	ci1	ci2	ci3	0	2	2	1	2	1	flpci1	invci1									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	1	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	2	0	xxx	xxx	1	0	
Tiara	100	0	1	1	40	50	0	0	0	0	25	0	70	1	52	35000	2100000	ci2	ci2	13		lit	ci1	ci2	ci3	0	2	2	1	3	1	flpci1	invci2									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0	
Diadem	100	0	1	1	50	60	0	0	0	0	20	0	85	1	64	58000	4147500	ci3	ci3	18		lit	ci1	ci2	ci3	0	2	2	1	3	1	flpci2	invci3									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	3	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0	
Shako	100	0	1	1	98	141	0	50	0	0	12	0	58	1	43	56307	1510773	uap	uap			cap	cap	xap	uap	0	2	2	1	2	1	flpcap	invcap									0					0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Hydraskull	100	0	4	1	101	145	0	84	0	0	18	0	63	1	47	62739	1704828	ukp	ukp			skp	skp	xkp	ukp	0	2	2	1	2	1	flpskp	invskp									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
Armet	100	0	4	1	105	149	0	109	0	0	24	0	68	1	51	69940	2015109	ulm	ulm			hlm	hlm	xlm	ulm	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	0	
